,Stocks,Bonds,Gold
2016-09-09,733298304.0,3073712.0,175345.0
2016-09-10,733298304.0,3073712.0,175345.0
2016-09-11,733298304.0,3073712.0,175345.0
2016-09-12,678672320.0,3395070.0,209449.0
2016-09-13,671924160.0,2840938.0,199038.0
2016-09-14,613080000.0,2260445.0,154864.0
2016-09-15,582081152.0,1933483.0,229978.0
2016-09-16,1474370048.0,1391573.0,152236.0
2016-09-17,1474370048.0,1391573.0,152236.0
2016-09-18,1474370048.0,1391573.0,152236.0
2016-09-19,513154496.0,1657732.0,140481.0
2016-09-20,485033376.0,1341598.0,121457.0
2016-09-21,584047616.0,2106627.0,142801.0
2016-09-22,521698208.0,1568178.0,181419.0
2016-09-23,520729440.0,1533720.0,129032.0
2016-09-24,520729440.0,1533720.0,129032.0
2016-09-25,520729440.0,1533720.0,129032.0
2016-09-26,517749728.0,1818560.0,145345.0
2016-09-27,534098176.0,2615551.0,217391.0
2016-09-28,558074688.0,2430731.0,179591.0
2016-09-29,616776896.0,3070846.0,168664.0
2016-09-30,809096384.0,1770068.0,225213.0
2016-10-01,809096384.0,1770068.0,225213.0
2016-10-02,809096384.0,1770068.0,225213.0
2016-10-03,514417696.0,1602808.0,140491.0
2016-10-04,563782656.0,1928194.0,191434.0
2016-10-05,599675328.0,2831212.0,234725.0
2016-10-06,517704704.0,1219792.0,207617.0
2016-10-07,620407808.0,1893710.0,289313.0
2016-10-08,620407808.0,1893710.0,289313.0
2016-10-09,620407808.0,1893710.0,289313.0
2016-10-10,452953152.0,1513783.0,156817.0
2016-10-11,576879296.0,1568208.0,154617.0
2016-10-12,458993728.0,1366235.0,154429.0
2016-10-13,561306496.0,1726591.0,168741.0
2016-10-14,549012224.0,1465367.0,193347.0
2016-10-15,549012224.0,1465367.0,193347.0
2016-10-16,549012224.0,1465367.0,193347.0
2016-10-17,479872096.0,1071350.0,124001.0
2016-10-18,475357952.0,1239600.0,164492.0
2016-10-19,544920640.0,1642201.0,149590.0
2016-10-20,571554560.0,1362708.0,149026.0
2016-10-21,654916224.0,1081945.0,119036.0
2016-10-22,654916224.0,1081945.0,119036.0
2016-10-23,654916224.0,1081945.0,119036.0
2016-10-24,523593280.0,1544003.0,193259.0
2016-10-25,531518176.0,1552659.0,149737.0
2016-10-26,562100224.0,1215397.0,160320.0
2016-10-27,614987648.0,1962719.0,147260.0
2016-10-28,641413824.0,1671908.0,243947.0
2016-10-29,641413824.0,1671908.0,243947.0
2016-10-30,641413824.0,1671908.0,243947.0
2016-10-31,673285120.0,1767802.0,131337.0
2016-11-01,712708096.0,1720825.0,228094.0
2016-11-02,644609408.0,3326422.0,262503.0
2016-11-03,593296448.0,2475522.0,252348.0
